EVA-CLIP相似度评估结果
模型: EVA02-CLIP-B-16
==================================================

文件夹: Figma
平均相似度: 0.7140 ± 0.0865
范围: 0.3295 - 0.9004
有效图像对: 81

各图像对相似度:
  1: 0.6461
  2: 0.7213
  3: 0.8090
  5: 0.6323
  6: 0.7199
  7: 0.7790
  8: 0.6077
  9: 0.6968
  10: 0.7801
  11: 0.6190
  12: 0.6823
  13: 0.6525
  14: 0.6278
  15: 0.6398
  16: 0.6368
  17: 0.7677
  18: 0.6936
  19: 0.9000
  20: 0.6977
  21: 0.8659
  22: 0.6992
  23: 0.7379
  24: 0.6246
  25: 0.6696
  26: 0.6992
  27: 0.7273
  28: 0.7536
  29: 0.7978
  30: 0.5915
  31: 0.7297
  32: 0.7642
  33: 0.7029
  34: 0.3295
  35: 0.7097
  36: 0.6131
  37: 0.7452
  38: 0.8129
  39: 0.7976
  40: 0.7290
  41: 0.8381
  42: 0.7092
  43: 0.7234
  44: 0.7870
  45: 0.7613
  46: 0.8216
  47: 0.6527
  48: 0.5581
  49: 0.7201
  50: 0.7358
  51: 0.9004
  52: 0.7756
  53: 0.8446
  54: 0.7392
  55: 0.7380
  56: 0.6281
  57: 0.8185
  58: 0.7142
  59: 0.6741
  60: 0.6040
  61: 0.8114
  62: 0.6709
  63: 0.7155
  64: 0.7637
  65: 0.6897
  66: 0.8087
  67: 0.8096
  68: 0.7800
  69: 0.5818
  70: 0.6973
  71: 0.7166
  72: 0.7660
  73: 0.5905
  74: 0.6970
  76: 0.7315
  77: 0.6803
  78: 0.6607
  79: 0.6883
  80: 0.6777
  81: 0.7390
  82: 0.8150
  83: 0.5887

--------------------------------------------------

文件夹: Screenshot
平均相似度: 0.6710 ± 0.1667
范围: 0.1810 - 0.9298
有效图像对: 83

各图像对相似度:
  1: 0.6950
  2: 0.7390
  3: 0.8115
  4: 0.6039
  5: 0.1810
  6: 0.6778
  7: 0.7728
  8: 0.6836
  9: 0.6406
  10: 0.8089
  11: 0.6627
  12: 0.4505
  13: 0.6217
  14: 0.3504
  15: 0.6052
  16: 0.3247
  17: 0.7812
  18: 0.8079
  19: 0.9298
  20: 0.6033
  21: 0.8930
  22: 0.4603
  23: 0.4829
  24: 0.6828
  25: 0.4312
  26: 0.6439
  27: 0.7227
  28: 0.7384
  29: 0.7854
  30: 0.6440
  31: 0.5353
  32: 0.7386
  33: 0.8027
  34: 0.2438
  35: 0.7209
  36: 0.6302
  37: 0.8026
  38: 0.8595
  39: 0.6248
  40: 0.7547
  41: 0.8630
  42: 0.8201
  43: 0.8750
  44: 0.8904
  45: 0.6144
  46: 0.8265
  47: 0.6833
  48: 0.6823
  49: 0.4420
  50: 0.4075
  51: 0.6150
  52: 0.7365
  53: 0.8390
  54: 0.6678
  55: 0.6403
  56: 0.4838
  57: 0.9261
  58: 0.5981
  59: 0.5328
  60: 0.2916
  61: 0.8431
  62: 0.5423
  63: 0.7578
  64: 0.4357
  65: 0.5289
  66: 0.8745
  67: 0.8319
  68: 0.8353
  69: 0.5201
  70: 0.8224
  71: 0.8940
  72: 0.4921
  73: 0.5359
  74: 0.8908
  75: 0.7949
  76: 0.7709
  77: 0.8100
  78: 0.6720
  79: 0.5409
  80: 0.8010
  81: 0.6312
  82: 0.8384
  83: 0.6476

--------------------------------------------------

