EVA-CLIP相似度评估结果
模型: EVA02-CLIP-B-16
==================================================

文件夹: Layout_fullpage
平均相似度: 0.7081 ± 0.1435
范围: 0.2037 - 0.9155
有效图像对: 83

各图像对相似度:
  1: 0.7226
  2: 0.8605
  3: 0.8953
  4: 0.7993
  5: 0.3632
  6: 0.5588
  7: 0.7869
  8: 0.5862
  9: 0.6170
  10: 0.7040
  11: 0.5522
  12: 0.9027
  13: 0.6550
  14: 0.4398
  15: 0.7380
  16: 0.4099
  17: 0.8098
  18: 0.7068
  19: 0.6548
  20: 0.6045
  21: 0.7552
  22: 0.6332
  23: 0.6339
  24: 0.6991
  25: 0.5121
  26: 0.8610
  27: 0.8809
  28: 0.7468
  29: 0.7833
  30: 0.7375
  31: 0.4989
  32: 0.7803
  33: 0.7585
  34: 0.2037
  35: 0.8131
  36: 0.8474
  37: 0.6797
  38: 0.6523
  39: 0.7562
  40: 0.8025
  41: 0.9121
  42: 0.8329
  43: 0.8570
  44: 0.7704
  45: 0.8656
  46: 0.7211
  47: 0.6848
  48: 0.8830
  49: 0.6674
  50: 0.4576
  51: 0.6088
  52: 0.7970
  53: 0.6782
  54: 0.7349
  55: 0.7273
  56: 0.3420
  57: 0.7677
  58: 0.6837
  59: 0.6775
  60: 0.4049
  61: 0.8060
  62: 0.7205
  63: 0.7619
  64: 0.5674
  65: 0.6283
  66: 0.8710
  67: 0.9155
  68: 0.8467
  69: 0.4852
  70: 0.7924
  71: 0.7519
  72: 0.7678
  73: 0.7344
  74: 0.9106
  75: 0.8456
  76: 0.8174
  77: 0.7115
  78: 0.5884
  79: 0.7674
  80: 0.7048
  81: 0.7051
  82: 0.8558
  83: 0.7378

--------------------------------------------------

